Date,Units,Revenue,Stores,,,,,,,,,,,,,,,,,,,,
1/8/2018,16541,6427423,15556,,,,,,,,,,,,,,,,,,,,
1/15/2018,16873,6664009,15719,,,,,,,,,,,,,,,,,,,,
1/22/2018,17308,7426495,15827,,,,,,,,,,,,,,,,,,,,
1/29/2018,21930,10222046,15667,,,,,,,,,,,,,,,,,,,,
2/5/2018,17877,7151895,15136,,,,,,,,,,,,,,,,,,,,
2/12/2018,18114,6940657,15180,,,,,,,,,,,,,,,,,,,,
2/19/2018,21535,8606345,14923,,,,,,,,,,,,,,,,,,,,
2/26/2018,19340,7645659,15235,,,,,,,,,,,,,,,,,,,,
3/5/2018,18488,7462418,15694,,,,,,,,,,,,,,,,,,,,
3/12/2018,17900,7372894,15738,,,,,,,,,,,,,,,,,,,,
3/19/2018,18282,7361786,15762,,,,,,,,,,,,,,,,,,,,
3/26/2018,16995,7072155,15750,,,,,,,,,,,,,,,,,,,,
4/2/2018,16793,6948127,15144,,,,,,,,,,,,,,,,,,,,
4/9/2018,18227,7476457,15700,,,,,,,,,,,,,,,,,,,,
4/16/2018,18247,7198417,15611,,,,,,,,,,,,,,,,,,,,
4/23/2018,17285,6917935,15516,,,,,,,,,,,,,,,,,,,,
4/30/2018,17781,6957700,15478,,,,,,,,,,,,,,,,,,,,
5/7/2018,18356,6915395,16658,,,,,,,,,,,,,,,,,,,,
5/14/2018,17360,6675284,16506,,,,,,,,,,,,,,,,,,,,
5/21/2018,18494,7702427,17533,,,,,,,,,,,,,,,,,,,,
5/28/2018,20133,8432445,17762,,,,,,,,,,,,,,,,,,,,
6/4/2018,20331,8194453,21941,,,,,,,,,,,,,,,,,,,,
6/11/2018,23172,9142255,21727,,,,,,,,,,,,,,,,,,,,
6/18/2018,20100,7493426,21795,,,,,,,,,,,,,,,,,,,,
6/25/2018,20478,7458444,21435,,,,,,,,,,,,,,,,,,,,
7/2/2018,21275,8556094,18048,,,,,,,,,,,,,,,,,,,,
7/9/2018,18574,6895029,18258,,,,,,,,,,,,,,,,,,,,
7/16/2018,20155,7870733,17544,,,,,,,,,,,,,,,,,,,,
7/23/2018,20505,7934189,18023,,,,,,,,,,,,,,,,,,,,
7/30/2018,22508,8520670,17968,,,,,,,,,,,,,,,,,,,,
8/6/2018,23358,8987399,17135,,,,,,,,,,,,,,,,,,,,
8/13/2018,25052,9594361,18861,,,,,,,,,,,,,,,,,,,,
8/20/2018,23156,9381603,18314,,,,,,,,,,,,,,,,,,,,
8/27/2018,25260,11746377,16563,,,,,,,,,,,,,,,,,,,,
9/3/2018,25006,12185731,19111,,,,,,,,,,,,,,,,,,,,
9/10/2018,20470,8729618,18804,,,,,,,,,,,,,,,,,,,,
9/17/2018,19355,7855717,17556,,,,,,,,,,,,,,,,,,,,
9/24/2018,22198,9083807,18566,,,,,,,,,,,,,,,,,,,,
10/1/2018,21527,8307350,18115,,,,,,,,,,,,,,,,,,,,
10/8/2018,20767,7881696,15642,,,,,,,,,,,,,,,,,,,,
10/15/2018,19585,7296829,16778,,,,,,,,,,,,,,,,,,,,
10/22/2018,19643,7354813,16085,,,,,,,,,,,,,,,,,,,,
10/29/2018,21061,7464405,15708,,,,,,,,,,,,,,,,,,,,
11/5/2018,21822,7489555,17682,,,,,,,,,,,,,,,,,,,,
11/12/2018,26075,11448432,17087,,,,,,,,,,,,,,,,,,,,
11/19/2018,96900,40527420,17762,,,,,,,,,,,,,,,,,,,,
11/26/2018,48669,18736678,17496,,,,,,,,,,,,,,,,,,,,
12/3/2018,26295,8516139,15747,,,,,,,,,,,,,,,,,,,,
12/10/2018,28504,9587287,16433,,,,,,,,,,,,,,,,,,,,
12/17/2018,52665,15702860,16318,,,,,,,,,,,,,,,,,,,,
12/24/2018,32653,12030738,16049,,,,,,,,,,,,,,,,,,,,
12/31/2018,25338,9754775,16061,,,,,,,,,,,,,,,,,,,,
1/7/2019,22051,7379889,15516,,,,,,,,,,,,,,,,,,,,
1/14/2019,19693,6655891,14901,,,,,,,,,,,,,,,,,,,,
1/21/2019,23801,9417911,15354,,,,,,,,,,,,,,,,,,,,
1/28/2019,33497,13677103,15288,,,,,,,,,,,,,,,,,,,,
2/4/2019,24243,8319322,14796,,,,,,,,,,,,,,,,,,,,
2/11/2019,21640,7262539,15617,,,,,,,,,,,,,,,,,,,,
2/18/2019,22594,7753141,14649,,,,,,,,,,,,,,,,,,,,
2/25/2019,23152,7594184,14611,,,,,,,,,,,,,,,,,,,,
